id,latitude,longitude,day_of_year,day_of_week,hour,month,pollution_value
0,51.491,-0.172,301,6,3,10,14.5
1,39.386,-121.158,254,3,21,9,34.5
2,51.459,0.596,301,6,3,10,10.5
3,35.299,-120.613,145,2,14,5,15.5
4,29.927,120.527,221,0,14,8,54.5
5,43.676,-1.059,285,3,11,10,15.0
6,29.961,103.001,221,0,14,8,17.5
7,26.177,119.988,53,3,3,2,16.5
8,46.382,-117.05,151,2,2,5,7.9
9,-23.717,27.582,150,1,0,5,29.291
10,35.094,137.049,267,0,10,9,10.5
11,50.432,7.479,29,0,22,1,26.1230011
12,46.662,124.916,221,0,14,8,17.5
13,-27.818,153.248,287,5,16,10,8.099999904632568
14,35.617,139.694,267,0,10,9,7.5
15,33.897,118.367,221,0,14,8,30.5
16,36.646,109.368,221,0,14,8,10.5
17,47.482,-120.518,151,2,2,5,6.3
18,39.472,-87.412,150,1,10,5,23.4
19,-25.815,29.508,144,2,16,5,16.78
20,39.977,-75.203,342,2,16,12,17.8
21,34.533,109.452,221,0,14,8,17.5
22,-33.879,18.524,222,2,7,8,4.427
23,38.866,139.885,267,0,10,9,7.5
24,1.335,103.833,214,3,10,8,8.5
25,37.566,126.986,165,3,23,6,17.5
26,34.687,135.474,267,0,10,9,6.5
27,43.982,126.456,221,0,14,8,23.5
28,30.313,-97.648,147,5,9,5,23.5
29,32.855,117.308,221,0,14,8,25.5
30,41.011,29.051,301,4,16,10,12.461
31,43.074,-108.39,150,1,18,5,8.5
32,34.447,109.52,221,0,14,8,20.5
33,45.83,131.09,221,0,14,8,6.5
34,23.12,113.347,221,0,14,8,9.5
35,27.139,93.696,288,5,5,10,9.93
36,20.535,-103.374,198,0,0,7,30.5
37,36.629,-118.035,110,2,20,4,433.5
38,25.464,81.899,289,6,19,10,111.17
39,52.48,-1.858,157,1,19,6,6.5
40,34.625,133.68,267,0,10,9,9.5
41,-37.756,144.896,275,1,7,10,5.71
42,31.4,120.656,221,0,14,8,33.5
43,49.862,18.527,36,4,16,2,49.5
44,36.673,101.477,221,0,14,8,20.5
45,45.597,14.87,214,3,10,8,12.48
46,38.638,-90.208,150,1,20,5,21.1
47,39.708,2.658,29,0,21,1,13.5
48,35.39,136.632,267,0,10,9,5.5
49,43.607,122.269,23,3,5,1,39.5
50,51.478,-0.475,301,6,3,10,12.5
51,41.516,-96.178,140,4,6,5,9.5
52,35.352,136.76,267,0,10,9,12.5
53,23.468,111.264,221,0,14,8,26.5
54,24.19,120.626,137,0,8,5,16.5
55,43.127,141.388,267,0,10,9,7.5
56,38.993,116.109,221,0,14,8,22.5
57,34.808,113.668,221,0,14,8,21.5
58,23.524,113.339,221,0,14,8,8.5
59,30.718,76.743,304,0,4,10,43.5
60,34.859,135.333,267,0,10,9,7.5
61,40.571,33.66,151,2,3,5,10.440999999999999
62,37.609,-118.991,150,1,23,5,9.5
63,46.596,-120.49,151,2,2,5,4.5
64,35.905,139.864,267,0,9,9,6.5
65,38.541,-121.444,145,2,14,5,17.2
66,-24.618,30.175,103,3,0,4,6.948
67,48.488,-122.567,151,2,2,5,4.4
68,20.474,-97.469,130,2,21,5,988.5
69,32.839,-80.001,142,6,15,5,16.0
70,24.699,108.191,366,3,19,12,19.5
71,35.903,139.473,267,0,10,9,6.5
72,39.712,98.489,221,0,14,8,11.5
73,30.33,120.177,221,0,14,8,36.5
74,26.934,112.561,158,0,21,6,36.5
75,36.965,137.558,267,0,10,9,7.5
76,33.587,114.06,221,0,14,8,24.5
77,31.799,117.352,221,0,14,8,32.5
78,25.277,83.004,304,0,5,10,101.62
79,34.686,-118.105,353,0,23,12,10.5
80,18.173,98.583,153,4,7,6,16.9
81,36.73,137.303,267,0,10,9,9.5
82,44.044,19.884,214,3,10,8,13.661
83,43.604,1.415,64,0,10,3,5.9
84,25.587,85.021,289,6,19,10,103.49
85,34.964,102.897,221,0,14,8,17.5
86,35.36,-120.498,66,4,10,3,7.5
87,34.685,135.68,289,0,11,10,16.5
88,36.275,120.382,221,0,14,8,30.5
89,40.79,-73.537,151,2,2,5,5.4
90,35.299,-120.613,151,2,2,5,4.5
91,28.71,77.136,53,3,7,2,454.5
92,31.339,121.024,221,0,14,8,31.5
93,-32.967,-71.529,255,2,17,9,34.5
94,40.78,111.56,221,0,14,8,18.5
95,23.33,104.22,221,0,14,8,12.5
96,34.746,135.237,267,0,10,9,5.5
97,31.796,-106.551,314,2,20,11,7.0
98,31.785,106.766,221,0,14,8,10.5
99,41.655,33.522,151,2,3,5,10.896
100,35.043,138.508,267,0,10,9,8.5
101,22.714,120.337,137,0,7,5,11.5
102,40.85,-121.643,256,0,22,9,66.2
103,34.944,-120.428,53,0,19,2,5.5
104,33.602,130.416,267,0,10,9,8.5
105,21.453,111.015,221,0,14,8,10.5
106,34.949,-120.427,108,3,22,4,13.5
107,43.316,-81.752,198,0,20,7,27.5
108,39.406,141.1,267,0,10,9,6.5
109,42.796,-86.099,150,1,23,5,12.5
110,42.446,-83.418,19,4,17,1,19.3
111,38.885,121.612,221,0,14,8,31.5
112,59.12,9.625,34,4,10,2,29.4
113,45.825,9.218,193,3,14,7,8.49
114,39.065,-121.648,36,0,8,2,50.5
115,40.673,29.307,151,2,3,5,26.009
116,36.304,139.413,267,0,10,9,13.5
117,38.94,-119.938,143,0,7,5,3.7
118,35.814,139.848,267,0,10,9,7.5
119,34.853,134.867,267,0,10,9,4.5
120,48.305,-124.648,151,2,2,5,6.7
121,40.829,-96.727,124,3,17,5,8.5
122,34.879,135.844,267,0,10,9,9.5
123,32.418,105.866,221,0,14,8,10.5
124,34.1,-117.443,151,2,2,5,14.9
125,35.012,138.302,267,0,10,9,8.5
126,40.149,-111.698,151,2,2,5,9.1
127,39.913,-79.785,286,3,17,10,7.6
128,47.997,2.756,64,0,9,3,20.9
129,39.508,-84.378,151,2,2,5,10.7
130,39.745,-75.885,151,2,2,5,15.5
131,34.209,132.672,267,0,10,9,6.5
132,35.126,136.967,267,0,10,9,9.5
133,47.611,-117.616,151,2,2,5,4.5
134,32.408,-111.138,151,2,2,5,5.5
135,-31.36,19.182,150,1,23,5,5.833
136,37.597,-77.451,139,3,17,5,12.7
137,41.964,121.648,221,0,14,8,54.5
138,34.511,133.772,267,0,10,9,6.5
139,42.48,-73.201,151,2,2,5,8.5
140,51.23,4.479,348,4,15,12,22.1
141,34.365,134.076,267,0,10,9,9.5
142,35.348,139.549,267,0,9,9,6.5
143,-26.651,27.96,147,5,14,5,39.729
144,36.834,127.118,193,3,19,7,13.5
145,27.188,78.402,304,0,5,10,66.78
146,-26.256,29.25,150,1,0,5,4.121
147,42.797,-96.866,282,6,23,10,9.3
148,26.224,78.192,289,6,19,10,62.5
149,24.549,117.696,123,4,10,5,21.5
150,-34.836,-58.648,108,2,17,4,5.5
151,44.628,-123.966,102,2,9,4,5.9
152,36.182,140.504,267,0,10,9,10.5
153,36.91,34.897,151,2,3,5,23.726
154,33.15,-97.231,150,1,10,5,7.5
155,36.647,117.004,221,0,14,8,49.5
156,38.23,140.622,267,0,10,9,5.5
157,35.574,103.238,221,0,14,8,8.5
158,14.003,101.332,100,1,4,4,29.2
159,17.2,102.411,188,5,11,7,14.861111084620156
160,13.718,100.782,156,1,6,6,13.5
161,8.999,7.48,272,3,22,9,21.5
162,41.458,-122.338,347,4,0,12,5.5
163,10.649,-61.526,148,6,5,5,8.72833333333333
164,41.081,29.041,299,2,14,10,15.873
165,50.417,-4.191,301,6,3,10,14.5
166,19.158,72.858,289,6,18,10,7.49
167,-26.873,27.862,151,2,2,5,16.148
168,39.231,-121.993,151,2,2,5,7.7
169,37.656,-94.068,83,2,21,3,14.3
170,30.269,115.068,221,0,14,8,20.5
171,26.62,118.138,221,0,14,8,19.5
172,43.876,-121.446,150,1,23,5,6.2
173,45.726,-121.443,220,2,0,8,23.5
174,35.816,139.902,93,1,16,4,22.5
175,38.94,-119.938,138,2,5,5,3.8
176,31.754,116.573,221,0,14,8,25.5
177,48.088,-123.455,151,2,2,5,7.7
178,30.54,105.549,221,0,14,8,12.5
179,36.159,137.226,267,0,10,9,5.5
180,37.847,113.47,221,0,14,8,27.5
181,22.052,82.146,304,0,5,10,32.25
182,44.272,-121.586,151,2,2,5,14.1
183,37.51,-118.755,226,3,9,8,14.5
184,41.136,-74.002,151,2,2,5,14.6
185,26.67,119.512,221,0,14,8,40.5
186,53.518,-113.506,275,1,17,10,5.079315493504207
187,32.668,130.851,267,0,10,9,9.5
188,46.666,-68.041,151,2,2,5,11.0
189,23.885,106.565,221,0,14,8,28.5
190,53.74,-7.823,154,6,3,6,10.2
191,31.33,118.352,221,0,14,8,36.5
192,42.603,-122.829,151,2,2,5,6.1
193,34.797,136.171,267,0,10,9,6.5
194,36.299,138.874,267,0,10,9,5.5
195,35.712,139.919,267,0,10,9,7.5
196,64.778,-147.356,151,2,2,5,4.5
197,23.158,109.58,221,0,14,8,10.5
198,39.587,122.018,366,3,17,12,66.5
199,-34.323,150.614,327,2,2,11,3.7
200,34.742,135.459,267,0,10,9,5.5
201,36.318,-86.617,150,1,23,5,13.5
202,32.839,-80.001,141,5,2,5,16.3
203,36.158,-118.611,324,0,23,11,8.5
204,46.907,-114.064,284,4,17,10,9.5
205,41.403,-75.602,151,2,2,5,9.9
206,-26.021,29.305,202,3,0,7,14.627
207,33.178,131.585,267,0,10,9,7.5
208,32.839,-80.001,141,5,15,5,13.3
209,35.677,139.841,267,0,10,9,6.5
210,40.271,28.944,74,2,13,3,40.344
211,-26.908,26.643,130,2,21,5,52.209
212,-26.808,28.53,150,1,0,5,40.957
213,46.551,-112.067,81,1,19,3,9.5
214,42.677,-4.855,294,0,13,10,3.5
215,30.058,-84.196,150,1,21,5,13.6
216,58.456,15.637,214,3,11,8,5.2
217,37.762,-119.066,240,1,20,8,16.5
218,47.527,-111.265,151,2,2,5,10.8
219,11.036,76.99,278,2,16,10,17.5
220,20.097,-98.343,266,3,3,9,9.7312391784456
221,28.693,115.87,221,0,14,8,32.5
222,50.209,127.545,221,0,14,8,9.5
223,35.621,139.673,267,0,10,9,7.5
224,37.704,112.728,221,0,14,8,31.5
225,36.938,35.296,151,2,3,5,16.528
226,37.858,112.565,221,0,14,8,23.5
227,19.028,72.877,304,0,4,10,60.2
228,36.671,119.186,221,0,14,8,47.5
229,24.306,109.342,221,0,14,8,16.5
230,47.196,-120.94,243,6,23,8,3.5
231,35.605,139.337,267,0,10,9,7.5
232,47.195,-120.94,255,2,11,9,22.5
233,13.661,100.527,188,5,11,7,12.2
234,41.296,-77.187,294,4,17,10,9.3
235,37.404,-118.389,181,5,9,6,18.5
236,41.711,-124.241,272,3,21,9,9.5
237,38.536,-121.555,68,6,3,3,8.4
238,39.666,27.891,151,2,3,5,17.793
239,37.79,-118.489,234,4,2,8,90.5
240,39.711,-105.15,199,3,21,7,4.5
241,28.647,77.357,304,0,5,10,169.5
242,31.136,104.384,366,3,18,12,48.5
243,35.241,113.362,221,0,14,8,18.5
244,46.113,15.056,214,3,10,8,13.03
245,38.732,35.511,301,4,13,10,12.383
246,18.884,98.959,188,5,11,7,20.0
247,37.981,-119.128,318,1,16,11,4.5
248,37.108,-88.568,150,1,10,5,16.5
249,42.441,-70.971,117,2,11,4,3.5
250,45.128,-122.833,216,3,7,8,7.2
251,35.512,139.677,267,0,10,9,6.5
252,35.142,138.577,267,0,10,9,5.5
253,39.833,-86.239,151,2,2,5,15.2
254,38.051,114.873,221,0,14,8,24.5
255,43.752,87.714,221,0,14,8,16.5
256,34.086,134.149,267,0,9,9,12.5
257,37.064,-7.935,335,5,4,11,7.6
258,25.063,121.486,356,4,8,12,16.5
259,28.4,76.974,304,0,4,10,218.5
260,42.677,21.203,146,4,1,5,16.6
261,41.516,-96.178,165,1,6,6,14.5
262,19.543,109.602,221,0,14,8,16.5
263,40.6,110.013,221,0,14,8,26.5
264,36.039,139.638,267,0,10,9,7.5
265,33.503,-112.081,151,2,2,5,4.5
266,37.78,139.08,267,0,10,9,6.5
267,43.639,-116.283,147,5,3,5,6.5
268,39.824,-75.454,151,2,2,5,21.8
269,55.922,-3.167,301,6,3,10,9.5
270,-25.587,27.098,142,0,3,5,13.5
271,48.098,16.952,29,0,21,1,15.80000019
272,52.404,16.935,208,2,10,7,8.93904
273,34.547,105.683,221,0,14,8,12.5
274,39.756,-105.017,150,1,17,5,10.3
275,33.1,131.842,267,0,10,9,24.5
276,-37.779,144.892,277,1,22,10,9.92
277,47.919,106.924,314,2,19,11,33.1
278,48.16,-117.095,151,2,2,5,5.8
279,36.582,117.102,221,0,14,8,59.5
280,13.792,100.545,161,6,14,6,16.4
281,40.859,117.978,221,0,14,8,25.5
282,37.446,127.237,193,3,19,7,28.5
283,33.392,130.715,221,3,5,8,40.5
